tortured_phrase,expected_phrase,num_papers
"""savvy devices""",smart devices,54
"""muscle shortcoming""",muscle weakness,54
"""optimistic and important""",positive and significant,54
"""desire tree""",decision tree,54
"""sigmoid actuation""",sigmoid activation,54
"""budgetary division""",financial corporations,54
"""likelihood thickness work""",Probability Density Function (PDF),54
"""warm capacity""",heat capacity,54
"""python bundle""",Python package,54
"""programmed discourse acknowledgment""",automatic speech recognition (ASR),54
"""arrive utilize""",land use,54
"""carbon dioxide secretions""",carbon dioxide emissions,54
"""nonstop checking""",continuous checking,54
"""regular language preparing""",natural language processing (NLP),54
"""estimation of convergent validity""",Average Variance Extracted (AVE),54
"""ailing districts""",tumor region,53
"""applicable examine""",???,53
"""uphold vector machine""",support vector machine (SVM),53
"""purpose of offer""",Point of Sale,53
"""crying knowledge""",???,53
"""hereditary programming""",genetic programming,53
"""bosom growth""",breast cancer,53
"""keen lattice""",smart network,53
"""speaker autonomous""",speaker independent,53
"""shrewd lattice""",smart network,53
"""mind cancer"" AND ""brain cancer""",brain cancer,53
"""exchange training"" AND ""transfer learning""",transfer learning,53
"""end-to-cease""",end-to-end,53
"""fluffy c-mean""",fuzzy c-mean,53
"""backslide model""",regression model,53
"""co-event framework""",co-occurrence matrix,53
"""administered learning calculations""",supervised learning algorithms,53
"""picture enrollment""",picture transformation,52
"""diverse sum""",various amount (quantity),52
"""organ disappointment""",organ failure,52
"""Center i7""",Core i7,52
"""Worldwide Diary of""",International Journal of,52
"""Single Shot Identification""",Single Shot Detection (SSD),52
"""savage power"" AND ""brute""",brute force,52
"""liquidity hazard""",liquidity risk,52
"""single-shot identification""",Single-Shot Detector (SSD),52
"""cryptanalysis assaults""",cryptanalysis attacks,52
"""unmarried factor""",single factor,52
"""research zeroed in""",research focused,52
"""metric capacity unit""",machine learning (ML),52
"""Gaussian appropriations""",Gaussian components,52
"""gastric corrosive""",gastric acid,52
"""10-crease cross""",10-fold cross (validation),52
"""therapeutic conclusion"" AND ""medical diagnosis""",medical diagnosis,52
"""outfit classifier""",ensemble classifier,52
"""more prominent exactness""",higher accuracy,52
"""10-overlap cross approval""",10-fold cross validation,52
"""convolution brain organization""",convolutional neural network (CNN),52
"""fluffy logic""",fuzzy logic,52
"""bogus positive FP""~5",false positive,52
"""essential component analysis""",principal component analysis (PCA),52
"""facial acknowledgement""",face recognition,52
"""races are responsible""",fair competition,51
"""image upgrade"" AND ""image enhancement""",image enhancement,51
"""spiral premise work""",radial basis function (RBF),51
"""ecological eminence""",environmental quality,51
"""fringe gadget""",peripheral device,51
"""nice-tuning""",fine-tuning,51
"""blunder term""",error term,51
"""pre-dealing with""",pre-processing,51
"""stomach related framework""",???,51
"""administered artificial intelligence""",supervised artificial intelligence,51
"""shrouded state""",hidden state (in HMM),51
"""oddity location""",anomaly detection,51
"""explicit illness""",specific illness,51
"""extricate the information""",extract data,51
"""blended whole number""",mixed integer,51
"""light producing diode""",light emitting diode,51
"""secrecy abilities""",stealth (in the context of nanoparticles),51
"""social designing"" AND ""social engineering""",social engineering,51
"""tweet order""",tweet classification,51
"""piece capability""",kernel function,50
"""traffic the board"" AND ""traffic management""",traffic management,50
"""ballot strategy""",voting strategy,50
"""shrewd matrix""",smart grid,50
"""stoner experience""",user experience,50
"""phosphoric corrosive""",phosphoric acid,50
"""energy dispersive X-beam""",energy dispersive X-ray analysis (EDX),50
"""malicious hobbies""",???,50
"""random backwoods""",random forest,50
"""important component analysis""",Principal Component Analysis (PCA),50
"""Serious Intense Respiratory Disorder""",severe acute respiratory syndrome (SARS),50
"""natural photovoltaic""",organic photovoltaic,50
"""right of method""",right of way,50
"""sunlight-based force""",solar power,50
"""start to finish model""",end-to-end model,50
"""common language handling""",natural language processing (NLP),50
"""independent element analysis""",independent component analysis (ICA),50
"""vehicle acknowledgment"" AND ""vehicle identification""",vehicle identification,50
"""multidrug safe""",Multiple drug resistance (MDR),50
"""counterfeit knowledge""",artificial intelligence,49
"""more noteworthy exactness""",higher accuracy,49
"""exploratory information examination""",exploratory data analysis (EDA),49
"""totally associated layer""",fully connected layer (of a neural network),49
"""energy attentive""",energy efficient,49
"""effusions of carbon""",emissions of carbon,49
"""mechanical homes"" AND ""mechanical properties""",mechanical properties,49
"""populace increment""",population growth,49
"""resource esteems""",asset prices,49
"""key execution markers""",key performance indicators (KPI),49
"""outward appearance acknowledgment""",face recognition,49
"""information base framework""",database system,49
"""savvy material""",smart material,49
"""inclination helping""",gradient boosting,49
"""gated-repetitive unit (GRU)""",gated recurrent unit (GRU),49
"""timing assault""",timing attack (a cryptanalysis attack),49
"""rice impact"" AND ""rice blast""",rice blast,48
"""savvy cultivating""",smart farming,48
"""reflex coefficient""",reflection coefficient,48
"""hereditary data"" AND ""genetic information""",genetic information,48
"""random timberland""",random forest,48
"""phony picture""",fake image,48
"""Intermittent Brain Organizations""",Recurrent Neural Networks (RNNs),48
"""Radio Recurrence Distinguishing proof""",Radio Frequency Identification (RFID),48
"""highlight coordinating""",feature matching,48
"""tend to area unit""",are,48
"""private mists""",private cloud,48
"""noxious node""",malicious node,48
"""moving normal (ARIMA)""",Autoregressive integrated moving average (ARIMA),48
"""free radical rummaging""",free radical scavenging,48
"""keen transportation""",smart transportation,48
"""intermittent brain organisations""",recurrent neural network (RNN),48
"""World Wellbeing Association (WHO)""",World Health Organization (WHO),48
"""Worldwide Meeting on""",International Conference on,48
"""perplexity framework""",confusion matrix,48
"""insight officials""",intelligence officers,47
"""flag to commotion""",signal to noise,47
"""commencement work""",activation function,47
"""wellspring of income""",source of income,47
"""common dialect handling""",natural language processing,47
"""favorable cancer"" AND (""benign cancer"" OR ""benign tumor"")",benign cancer/tumor,47
"""discourse detachment""",speech separation,47
"""venereal ailments""",venereal disease,47
"""genuine up-sides""",true positive,47
"""confined Boltzmann machine""",restricted Boltzmann machine (RBM),47
"""low-goal"" AND ""low-resolution""",low-resolution,47
"""fit record"" OR ""fit file"" AND ""fit index""",Fit Index,47
"""miss rate calculation""",???,47
"""main ingredient analysis""",Principal Component Analysis (PCA),47
"""melanoma issues""",melanoma cases,47
"""commented on pictures""",labeled images,47
"""packet shipping ratio""",packet delivery ratio (PDR),47
"""electrostatic fascination""",electrostatic attraction,47
"""pernicious node""",malicious node,47
"""feeling grouping""",emotion classification,47
"""marked information"" AND ""labeled data""",labeled data,46
"""normal language preparing""",natural language processing,46
"""support vector engine""",support vector machine (SVM),46
"""back-spread calculation""",backpropagation algorithm,46
"""downstream undertaking""",downstream task,46
"""warm diffusivity""",thermal diffusivity,46
"""android versatile"" NOT ""paranoid android""",Android mobile/phone,46
"""JPEG pressure""",JPEG compression,46
"""bogus negative FN""~5",false negative,46
"""Mel Recurrence Cepstral""",Mel Frequency Cepstral,46
"""conventional steering"" AND routing",traditional routing,46
"""Inclination boosting""",gradient boosting,46
"""back-engendering calculation""",back-propagation algorithm,46
"""noise expulsion""",noise removal,46
"""appealing charge""",Attractive Interaction,46
"""inertial estimation unit""",inertial measurement unit,46
"""safe starch""",resistant starch,46
"""blunder signal""",error signal,46
"""synthesized discourse""",synthesized speech,46
"""blended speech""",synthesized speech,46
"""savvy vehicle""",smart vehicle,46
"""veritable positive""",true positive,46
"""differentiation specialist""",contrast agent,46
"""salt and peppers commotion""",salt and pepper noise,46
"""hyper-boundaries"" AND ""hyper-parameters""",hyper-parameters,46
"""built-interconnected""",???,46
"""exactness, accuracy, and review""","precision, accuracy, and recall",46
"""dairy organs""",mammary glands,45
"""Apple Observe""",Apple Watch,45
"""malevolent tumor""",malignant tumor,45
"""universal inhabitants""",world population,45
"""bosom milk""",breast milk,45
"""mechanical upset""",industrial revolution,45
"""rhapsody simulation""",ensemble simulation,45
"""hyaluronic corrosive""",hyaluronic acid,45
"""self-governing driving""",autonomous driving,45
"""Global Diary of""",International Journal of,45
"""low pay nations""",low income countries,45
"""man-made awareness""",artificial intelligence,45
"""slope drop"" AND ""gradient descent""",gradient descent,45
"""hyperledger texture""",hyperledger fabric,45
"""High-thickness polyethylene""",high density polyethylene (HDPE),45
"""fuzzy C-implies""",fuzzy C-means (clustering),45
"""Linux Working Framework""",Linux Operating System,45
"""nourishment handling""",food processing,45
"""ok-nearest neighbor""",K-nearest neighbor,45
"""praise-primarily""",???,45
"""voice reputation""",speech recognition,45
"""lifestyles span""",lifespan,44
"""ensemble getting to know""",ensemble learning,44
